date,fighter_a,fighter_b,result_numeric
2005-02-05,nick diaz,drew fickett,1.0
2005-02-05,karo parisyan,chris lytle,1.0
2005-02-05,david loiseau,gideon ray,1.0
2005-02-05,mike kyle,james irvin,1.0
2005-02-05,paul buentello,justin eilers,1.0
2005-02-05,evan tanner,david terrell,1.0
2005-02-05,andrei arlovski,tim sylvia,1.0
2005-02-05,pete sell,phil baroni,1.0
2005-02-05,tito ortiz,vitor belfort,1.0
2005-04-09,alex karalexis,josh rafferty,1.0
2005-04-09,mike swick,alex schoenauer,1.0
2005-04-09,nate quarry,lodune sincaid,1.0
2005-04-09,josh koscheck,chris sanford,1.0
2005-04-09,chris leben,jason thacker,1.0
2005-04-09,sam hoger,bobby southworth,1.0
2005-04-09,diego sanchez,kenny florian,1.0
2005-04-09,forrest griffin,stephan bonnar,1.0
2005-04-09,rich franklin,ken shamrock,1.0
2005-04-16,mike van arsdale,john marsh,1.0
2005-04-16,joe doerksen,patrick cote,1.0
2005-04-16,ivan salaverry,joe riggs,1.0
2005-04-16,georges st-pierre,jason miller,1.0
2005-04-16,matt lindland,travis lutter,1.0
2005-04-16,matt hughes,frank trigg,1.0
2005-04-16,renato sobral,travis wiuff,1.0
2005-04-16,chuck liddell,randy couture,1.0
2005-06-04,nick diaz,koji oishi,1.0
2005-06-04,david loiseau,charles mccarthy,1.0
2005-06-04,nate quarry,shonie carter,1.0
2005-06-04,paul buentello,kevin jordan,1.0
2005-06-04,forrest griffin,bill mahood,1.0
2005-06-04,rich franklin,evan tanner,1.0
2005-06-04,karo parisyan,matt serra,1.0
2005-06-04,andrei arlovski,justin eilers,1.0
2005-08-06,drew fickett,josh neer,1.0
2005-08-06,kenny florian,alex karalexis,1.0
2005-08-06,mike swick,gideon ray,1.0
2005-08-06,josh koscheck,pete spratt,1.0
2005-08-06,nate quarry,pete sell,1.0
2005-08-06,stephan bonnar,sam hoger,1.0
2005-08-06,chris leben,patrick cote,1.0
2005-08-06,nate marquardt,ivan salaverry,1.0
2005-08-20,james irvin,terry martin,1.0
2005-08-20,trevor prangley,travis lutter,1.0
2005-08-20,matt lindland,joe doerksen,1.0
2005-08-20,georges st-pierre,frank trigg,1.0
2005-08-20,diego sanchez,brian gassaway,1.0
2005-08-20,randy couture,mike van arsdale,1.0
2005-08-20,tim sylvia,tra telligman,1.0
2005-08-20,chuck liddell,jeremy horn,1.0
2005-10-03,jonathan goulet,jay hieron,1.0
2005-10-03,jon fitch,brock larson,1.0
2005-10-03,spencer fisher,thiago alves,1.0
2005-10-03,drew fickett,josh koscheck,1.0
2005-10-03,brandon vera,fabiano scherner,1.0
2005-10-03,chris leben,edwin dewees,1.0
2005-10-03,david loiseau,evan tanner,1.0
2005-10-07,marcio cruz,keigo kunihara,1.0
2005-10-07,jorge rivera,dennis hallman,1.0
2005-10-07,joe riggs,chris lytle,1.0
2005-10-07,renato sobral,chael sonnen,1.0
2005-10-07,forrest griffin,elvis sinosic,1.0
2005-10-07,branden lee hinkle,sean gannon,1.0
2005-10-07,andrei arlovski,paul buentello,1.0
2005-11-05,keith jardine,kerry schall,1.0
2005-11-05,melvin guillard,marcus davis,1.0
2005-11-05,joshua burkman,sammy morgan,1.0
2005-11-05,kenny florian,kit cope,1.0
2005-11-05,joe stevenson,luke cummo,1.0
2005-11-05,rashad evans,brad imes,1.0
2005-11-05,diego sanchez,nick diaz,1.0
2005-11-19,nick thompson,keith wisniewski,1.0
2005-11-19,thiago alves,ansar chalangov,1.0
2005-11-19,sam hoger,jeff newton,1.0
2005-11-19,jeremy horn,trevor prangley,1.0
2005-11-19,georges st-pierre,sean sherk,1.0
2005-11-19,matt hughes,joe riggs,1.0
2005-11-19,gabriel gonzaga,kevin jordan,1.0
2005-11-19,rich franklin,nate quarry,1.0
2006-01-16,jason von flue,alex karalexis,1.0
2006-01-16,spencer fisher,aaron riley,1.0
2006-01-16,duane ludwig,jonathan goulet,1.0
2006-01-16,josh neer,melvin guillard,1.0
2006-01-16,chris leben,jorge rivera,1.0
2006-01-16,joshua burkman,drew fickett,1.0
2006-01-16,stephan bonnar,james irvin,1.0
2006-01-16,tim sylvia,assuerio silva,1.0
2006-02-04,keith jardine,mike whitehead,1.0
2006-02-04,jeff monson,branden lee hinkle,1.0
2006-02-04,paul buentello,gilbert aldana,1.0
2006-02-04,alessio sakara,elvis sinosic,1.0
2006-02-04,joe riggs,nick diaz,1.0
2006-02-04,renato sobral,mike van arsdale,1.0
2006-02-04,marcio cruz,frank mir,1.0
2006-02-04,brandon vera,justin eilers,1.0
2006-02-04,chuck liddell,randy couture,1.0
2006-03-04,tom murphy,icho larenas,1.0
2006-03-04,jason lambert,rob macdonald,1.0
2006-03-04,sam stout,spencer fisher,1.0
2006-03-04,mark hominick,yves edwards,1.0
2006-03-04,nate marquardt,joe doerksen,1.0
2006-03-04,georges st-pierre,bj penn,1.0
2006-03-04,mike swick,steve vigneault,1.0
2006-03-04,rich franklin,david loiseau,1.0
2006-04-06,chael sonnen,trevor prangley,1.0
2006-04-06,josh koscheck,ansar chalangov,1.0
2006-04-06,dan christison,brad imes,1.0
2006-04-06,jon fitch,joshua burkman,1.0
2006-04-06,luke cummo,jason von flue,1.0
2006-04-06,chris leben,luigi fioravanti,1.0
2006-04-06,josh neer,joe stevenson,1.0
2006-04-06,rashad evans,sam hoger,1.0
2006-04-06,stephan bonnar,keith jardine,1.0
2006-04-15,thiago alves,derrick noble,1.0
2006-04-15,jason lambert,terry martin,1.0
2006-04-15,david terrell,scott smith,1.0
2006-04-15,karo parisyan,nick thompson,1.0
2006-04-15,jeff monson,marcio cruz,1.0
2006-04-15,evan tanner,justin levens,1.0
2006-04-15,tito ortiz,forrest griffin,1.0
2006-04-15,sean sherk,nick diaz,1.0
2006-04-15,tim sylvia,andrei arlovski,1.0
2006-05-27,melvin guillard,rick davis,1.0
2006-05-27,gabriel gonzaga,fabiano scherner,1.0
2006-05-27,spencer fisher,matt wiman,1.0
2006-05-27,jeremy horn,chael sonnen,1.0
2006-05-27,mike swick,joe riggs,1.0
2006-05-27,brandon vera,assuerio silva,1.0
2006-05-27,diego sanchez,john alessio,1.0
2006-05-27,dean lister,alessio sakara,1.0
2006-05-27,matt hughes,royce gracie,1.0
2006-06-24,mike nickels,wes combs,1.0
2006-06-24,matt hamill,jesse forbes,1.0
2006-06-24,luigi fioravanti,solomon hutcherson,1.0
2006-06-24,kalib starnes,danny abbadi,1.0
2006-06-24,rory singer,ross pointon,1.0
2006-06-24,keith jardine,wilson gouveia,1.0
2006-06-24,kendall grove,ed herman,1.0
2006-06-24,michael bisping,josh haynes,1.0
2006-06-24,kenny florian,sam stout,1.0
2006-06-28,jorge santiago,justin levens,1.0
2006-06-28,rob macdonald,kristian rothaermel,1.0
2006-06-28,jon fitch,thiago alves,1.0
2006-06-28,jason lambert,branden lee hinkle,1.0
2006-06-28,josh koscheck,dave menne,1.0
2006-06-28,mark hominick,jorge gurgel,1.0
2006-06-28,rashad evans,stephan bonnar,1.0
2006-06-28,anderson silva,chris leben,1.0
2006-06-28,jonathan goulet,luke cummo,1.0
2006-07-08,drew fickett,kurt pellegrino,1.0
2006-07-08,cheick kongo,gilbert aldana,1.0
2006-07-08,jeff monson,anthony perosh,1.0
2006-07-08,hermes franca,joe jordan,1.0
2006-07-08,joe stevenson,yves edwards,1.0
2006-07-08,frank mir,dan christison,1.0
2006-07-08,tito ortiz,ken shamrock,1.0
2006-07-08,joshua burkman,josh neer,1.0
2006-07-08,tim sylvia,andrei arlovski,1.0
2006-08-17,anthony torres,pat healy,1.0
2006-08-17,forrest petz,sammy morgan,1.0
2006-08-17,jake o'brien,kristof midoux,1.0
2006-08-17,joe riggs,jason von flue,1.0
2006-08-17,martin kampmann,crafton wallace,1.0
2006-08-17,josh koscheck,jonathan goulet,1.0
2006-08-17,dean lister,yuki sasaki,1.0
2006-08-17,chris leben,jorge santiago,1.0
2006-08-17,diego sanchez,karo parisyan,1.0
2006-08-26,yushin okami,alan belcher,1.0
2006-08-26,david heath,cory walmsley,1.0
2006-08-26,wilson gouveia,wes combs,1.0
2006-08-26,eric schafer,rob macdonald,1.0
2006-08-26,hermes franca,jamie varner,1.0
2006-08-26,cheick kongo,christian wellisch,1.0
2006-08-26,nick diaz,josh neer,1.0
2006-08-26,forrest griffin,stephan bonnar,1.0
2006-08-26,chuck liddell,renato sobral,1.0
2006-09-23,tyson griffin,david lee,1.0
2006-09-23,jorge gurgel,danny abbadi,1.0
2006-09-23,eddie sanchez,mario neto,1.0
2006-09-23,roger huerta,jason dent,1.0
2006-09-23,joe lauzon,jens pulver,1.0
2006-09-23,rashad evans,jason lambert,1.0
2006-09-23,melvin guillard,gabe ruediger,1.0
2006-09-23,mike swick,david loiseau,1.0
2006-09-23,matt hughes,bj penn,1.0
2006-10-10,marcus davis,forrest petz,1.0
2006-10-10,thiago alves,john alessio,1.0
2006-10-10,rory singer,josh haynes,1.0
2006-10-10,tony desouza,dustin hazelett,1.0
2006-10-10,nate marquardt,crafton wallace,1.0
2006-10-10,matt hamill,seth petruzelli,1.0
2006-10-10,jason macdonald,ed herman,1.0
2006-10-10,kendall grove,chris price,1.0
2006-10-10,tito ortiz,ken shamrock,1.0
2006-10-14,kurt pellegrino,junior assuncao,1.0
2006-10-14,clay guida,justin james,1.0
2006-10-14,yushin okami,kalib starnes,1.0
2006-10-14,spencer fisher,dan lauzon,1.0
2006-10-14,carmelo marrero,cheick kongo,1.0
2006-10-14,jon fitch,kuniyoshi hironaka,1.0
2006-10-14,sean sherk,kenny florian,1.0
2006-10-14,anderson silva,rich franklin,1.0
2006-11-11,martin kampmann,thales leites,1.0
2006-11-11,charles mccarthy,gideon ray,1.0
2006-11-11,scott smith,pete sell,1.0
2006-11-11,pete spratt,jeremy jackson,1.0
2006-11-11,jorge rivera,edwin dewees,1.0
2006-11-11,din thomas,rich clementi,1.0
2006-11-11,travis lutter,patrick cote,1.0
2006-11-11,matt serra,chris lytle,1.0
2006-11-18,jake o'brien,josh shockman,1.0
2006-11-18,james irvin,hector ramirez,1.0
2006-11-18,antoni hardonk,sherman pendergarst,1.0
2006-11-18,nick diaz,gleison tibau,1.0
2006-11-18,joe stevenson,dokonjonosuke mishima,1.0
2006-11-18,brandon vera,frank mir,1.0
2006-11-18,drew mcfedries,alessio sakara,1.0
2006-11-18,tim sylvia,jeff monson,1.0
2006-11-18,georges st-pierre,matt hughes,1.0
2006-12-13,logan clark,steve byrnes,1.0
2006-12-13,brock larson,keita nakamura,1.0
2006-12-13,luigi fioravanti,dave menne,1.0
2006-12-13,alan belcher,jorge santiago,1.0
2006-12-13,david heath,victor valimaki,1.0
2006-12-13,marcus davis,shonie carter,1.0
2006-12-13,karo parisyan,drew fickett,1.0
2006-12-13,josh koscheck,jeff joslin,1.0
2006-12-13,diego sanchez,joe riggs,1.0
2006-12-30,christian wellisch,anthony perosh,1.0
2006-12-30,yushin okami,rory singer,1.0
2006-12-30,gabriel gonzaga,carmelo marrero,1.0
2006-12-30,thiago alves,tony desouza,1.0
2006-12-30,michael bisping,eric schafer,1.0
2006-12-30,andrei arlovski,marcio cruz,1.0
2006-12-30,jason macdonald,chris leben,1.0
2006-12-30,keith jardine,forrest griffin,1.0
2006-12-30,chuck liddell,tito ortiz,1.0
2007-01-25,rich clementi,ross pointon,1.0
2007-01-25,din thomas,clay guida,1.0
2007-01-25,ed herman,chris price,1.0
2007-01-25,joshua burkman,chad reiner,1.0
2007-01-25,nate marquardt,dean lister,1.0
2007-01-25,hermes franca,spencer fisher,1.0
2007-01-25,jake o'brien,heath herring,1.0
2007-01-25,rashad evans,sean salmon,1.0
2007-02-03,dustin hazelett,diego saraiva,1.0
2007-02-03,lyoto machida,sam hoger,1.0
2007-02-03,frankie edgar,tyson griffin,1.0
2007-02-03,terry martin,jorge rivera,1.0
2007-02-03,patrick cote,scott smith,1.0
2007-02-03,quinton jackson,marvin eastman,1.0
2007-02-03,roger huerta,john halverson,1.0
2007-02-03,mirko filipovic,eddie sanchez,1.0
2007-02-03,anderson silva,travis lutter,1.0
2007-03-03,jamie varner,jason gilliam,1.0
2007-03-03,gleison tibau,jason dent,1.0
2007-03-03,jon fitch,luigi fioravanti,1.0
2007-03-03,matt hamill,rex holman,1.0
2007-03-03,jason lambert,renato sobral,1.0
2007-03-03,matt hughes,chris lytle,1.0
2007-03-03,rich franklin,jason macdonald,1.0
2007-03-03,martin kampmann,drew mcfedries,1.0
2007-03-03,randy couture,tim sylvia,1.0
2007-04-05,thiago tavares,naoyuki kotani,1.0
2007-04-05,roan carneiro,rich clementi,1.0
2007-04-05,kuniyoshi hironaka,forrest petz,1.0
2007-04-05,kurt pellegrino,nate mohr,1.0
2007-04-05,drew fickett,keita nakamura,1.0
2007-04-05,wilson gouveia,seth petruzelli,1.0
2007-04-05,kenny florian,dokonjonosuke mishima,1.0
2007-04-05,justin mccully,antoni hardonk,1.0
2007-04-05,joe stevenson,melvin guillard,1.0
2007-04-07,luke cummo,josh haynes,1.0
2007-04-07,marcus davis,pete spratt,1.0
2007-04-07,thales leites,pete sell,1.0
2007-04-07,heath herring,brad imes,1.0
2007-04-07,kendall grove,alan belcher,1.0
2007-04-07,yushin okami,mike swick,1.0
2007-04-07,roger huerta,leonard garcia,1.0
2007-04-07,josh koscheck,diego sanchez,1.0
2007-04-07,matt serra,georges st-pierre,1.0
2007-04-21,paul taylor,edilberto de oliveira,1.0
2007-04-21,jess liaudin,dennis siver,1.0
2007-04-21,alessio sakara,victor valimaki,1.0
2007-04-21,junior assuncao,david lee,1.0
2007-04-21,terry etim,matt grice,1.0
2007-04-21,cheick kongo,assuerio silva,1.0
2007-04-21,lyoto machida,david heath,1.0
2007-04-21,michael bisping,elvis sinosic,1.0
2007-04-21,andrei arlovski,fabricio werdum,1.0
2007-04-21,gabriel gonzaga,mirko filipovic,1.0
2007-05-26,wilson gouveia,carmelo marrero,1.0
2007-05-26,din thomas,jeremy stephens,1.0
2007-05-26,alan belcher,sean salmon,1.0
2007-05-26,thiago silva,james irvin,1.0
2007-05-26,kalib starnes,chris leben,1.0
2007-05-26,houston alexander,keith jardine,1.0
2007-05-26,terry martin,ivan salaverry,1.0
2007-05-26,karo parisyan,joshua burkman,1.0
2007-05-26,quinton jackson,chuck liddell,1.0
2007-06-12,nate mohr,luke caudillo,1.0
2007-06-12,anthony johnson,chad reiner,1.0
2007-06-12,gleison tibau,jeff cox,1.0
2007-06-12,tamdan mccrory,pete spratt,1.0
2007-06-12,forrest petz,luigi fioravanti,1.0
2007-06-12,thiago tavares,jason black,1.0
2007-06-12,drew mcfedries,jordan radev,1.0
2007-06-12,jon fitch,roan carneiro,1.0
2007-06-12,spencer fisher,sam stout,1.0
2007-06-16,dustin hazelett,stevie lynch,1.0
2007-06-16,eddie sanchez,colin robinson,1.0
2007-06-16,marcus davis,jason tan,1.0
2007-06-16,ed herman,scott smith,1.0
2007-06-16,tyson griffin,clay guida,1.0
2007-06-16,jason macdonald,rory singer,1.0
2007-06-16,forrest griffin,hector ramirez,1.0
2007-06-16,rich franklin,yushin okami,1.0
2007-06-23,matt wiman,brian geraghty,1.0
2007-06-23,leonard garcia,allen berube,1.0
2007-06-23,cole miller,andy wang,1.0
2007-06-23,joe lauzon,brandon melendez,1.0
2007-06-23,roger huerta,doug evans,1.0
2007-06-23,thales leites,floyd sword,1.0
2007-06-23,nate diaz,manvel gamburyan,1.0
2007-06-23,bj penn,jens pulver,1.0
2007-07-07,frankie edgar,mark bocek,1.0
2007-07-07,chris lytle,jason gilliam,1.0
2007-07-07,jorge gurgel,diego saraiva,1.0
2007-07-07,stephan bonnar,mike nickels,1.0
2007-07-07,antonio rodrigo nogueira,heath herring,1.0
2007-07-07,sean sherk,hermes franca,1.0
2007-07-07,rashad evans,tito ortiz,0.5
2007-07-07,anderson silva,nate marquardt,1.0
2007-07-07,kenny florian,alvin robinson,1.0
2007-08-25,clay guida,marcus aurelio,1.0
2007-08-25,thales leites,ryan jensen,1.0
2007-08-25,frank mir,antoni hardonk,1.0
2007-08-25,renato sobral,david heath,1.0
2007-08-25,patrick cote,kendall grove,1.0
2007-08-25,joe stevenson,kurt pellegrino,1.0
2007-08-25,roger huerta,alberto crane,1.0
2007-08-25,georges st-pierre,josh koscheck,1.0
2007-08-25,randy couture,gabriel gonzaga,1.0
2007-09-08,jess liaudin,anthony torres,1.0
2007-09-08,dennis siver,naoyuki kotani,1.0
2007-09-08,thiago silva,tomasz drwal,1.0
2007-09-08,gleison tibau,terry etim,1.0
2007-09-08,houston alexander,alessio sakara,1.0
2007-09-08,marcus davis,paul taylor,1.0
2007-09-08,cheick kongo,mirko filipovic,1.0
2007-09-08,michael bisping,matt hamill,1.0
2007-09-08,quinton jackson,dan henderson,1.0
2007-09-19,dustin hazelett,jonathan goulet,1.0
2007-09-19,thiago alves,kuniyoshi hironaka,1.0
2007-09-19,gray maynard,joe veres,1.0
2007-09-19,cole miller,leonard garcia,1.0
2007-09-19,luke cummo,edilberto de oliveira,1.0
2007-09-19,nate quarry,pete sell,1.0
2007-09-19,nate diaz,junior assuncao,1.0
2007-09-19,chris leben,terry martin,1.0
2007-09-19,kenny florian,din thomas,1.0
2007-09-22,matt wiman,michihiro omigawa,1.0
2007-09-22,christian wellisch,scott junk,1.0
2007-09-22,jeremy stephens,diego saraiva,1.0
2007-09-22,rich clementi,anthony johnson,1.0
2007-09-22,tyson griffin,thiago tavares,1.0
2007-09-22,lyoto machida,kazuhiro nakamura,1.0
2007-09-22,jon fitch,diego sanchez,1.0
2007-09-22,forrest griffin,mauricio rua,1.0
2007-09-22,keith jardine,chuck liddell,1.0
2007-10-20,matt grice,jason black,1.0
2007-10-20,joshua burkman,forrest petz,1.0
2007-10-20,demian maia,ryan jensen,1.0
2007-10-20,yushin okami,jason macdonald,1.0
2007-10-20,alan belcher,kalib starnes,1.0
2007-10-20,stephan bonnar,eric schafer,1.0
2007-10-20,alvin robinson,jorge gurgel,1.0
2007-10-20,tim sylvia,brandon vera,1.0
2007-10-20,anderson silva,rich franklin,1.0
2007-11-17,akihiro gono,tamdan mccrory,1.0
2007-11-17,marcus aurelio,luke caudillo,1.0
2007-11-17,joe lauzon,jason reinhardt,1.0
2007-11-17,thiago alves,chris lytle,1.0
2007-11-17,frankie edgar,spencer fisher,1.0
2007-11-17,ed herman,joe doerksen,1.0
2007-11-17,karo parisyan,ryo chonan,1.0
2007-11-17,thiago silva,houston alexander,1.0
2007-11-17,rashad evans,michael bisping,1.0
2007-12-08,jonathan goulet,paul georgieff,1.0
2007-12-08,roman mitichyan,dorian price,1.0
2007-12-08,matt arroyo,john kolosci,1.0
2007-12-08,troy mandaloniz,richie hightower,1.0
2007-12-08,ben saunders,dan barrera,1.0
2007-12-08,george sotiropoulos,billy miles,1.0
2007-12-08,war machine,jared rollins,1.0
2007-12-08,mac danzig,tommy speer,1.0
2007-12-08,roger huerta,clay guida,1.0
2007-12-29,mark bocek,doug evans,1.0
2007-12-29,roan carneiro,tony desouza,1.0
2007-12-29,dean lister,jordan radev,1.0
2007-12-29,manvel gamburyan,nate mohr,1.0
2007-12-29,james irvin,luiz cane,1.0
2007-12-29,rich clementi,melvin guillard,1.0
2007-12-29,lyoto machida,rameau thierry sokoudjou,1.0
2007-12-29,eddie sanchez,soa palelei,1.0
2007-12-29,chuck liddell,wanderlei silva,1.0
2007-12-29,georges st-pierre,matt hughes,1.0
2008-01-19,sam stout,per eklund,1.0
2008-01-19,alessio sakara,james lee,1.0
2008-01-19,paul kelly,paul taylor,1.0
2008-01-19,antoni hardonk,colin robinson,1.0
2008-01-19,jorge rivera,kendall grove,1.0
2008-01-19,wilson gouveia,jason lambert,1.0
2008-01-19,marcus davis,jess liaudin,1.0
2008-01-19,fabricio werdum,gabriel gonzaga,1.0
2008-01-19,bj penn,joe stevenson,1.0
2008-01-23,matt wiman,justin buchholz,1.0
2008-01-23,corey hill,joe veres,1.0
2008-01-23,jeremy stephens,cole miller,1.0
2008-01-23,gray maynard,dennis siver,1.0
2008-01-23,kurt pellegrino,alberto crane,1.0
2008-01-23,nate diaz,alvin robinson,1.0
2008-01-23,thiago tavares,michihiro omigawa,1.0
2008-01-23,patrick cote,drew mcfedries,1.0
2008-01-23,mike swick,joshua burkman,1.0
2008-02-02,rob emerson,keita nakamura,1.0
2008-02-02,marvin eastman,terry martin,1.0
2008-02-02,tim boetsch,david heath,1.0
2008-02-02,chris lytle,kyle bradley,1.0
2008-02-02,tyson griffin,gleison tibau,1.0
2008-02-02,ricardo almeida,rob yundt,1.0
2008-02-02,nate marquardt,jeremy horn,1.0
2008-02-02,frank mir,brock lesnar,1.0
2008-02-02,antonio rodrigo nogueira,tim sylvia,1.0
2008-03-01,jorge gurgel,john halverson,1.0
2008-03-01,diego sanchez,david bielkheden,1.0
2008-03-01,josh koscheck,dustin hazelett,1.0
2008-03-01,luigi fioravanti,luke cummo,1.0
2008-03-01,andrei arlovski,jake o'brien,1.0
2008-03-01,jon fitch,chris wilson,1.0
2008-03-01,yushin okami,evan tanner,1.0
2008-03-01,chris leben,alessio sakara,1.0
2008-03-01,heath herring,cheick kongo,1.0
2008-03-01,anderson silva,dan henderson,1.0
2008-04-02,anthony johnson,tommy speer,1.0
2008-04-02,george sotiropoulos,roman mitichyan,1.0
2008-04-02,clay guida,samy schiavo,1.0
2008-04-02,manvel gamburyan,jeff cox,1.0
2008-04-02,marcus aurelio,ryan roberts,1.0
2008-04-02,josh neer,din thomas,1.0
2008-04-02,james irvin,houston alexander,1.0
2008-04-02,nate diaz,kurt pellegrino,1.0
2008-04-02,matt hamill,tim boetsch,1.0
2008-04-02,thiago alves,karo parisyan,1.0
2008-04-02,gray maynard,frankie edgar,1.0
2008-04-02,kenny florian,joe lauzon,1.0
2008-04-19,jonathan goulet,kuniyoshi hironaka,1.0
2008-04-19,cain velasquez,brad morris,1.0
2008-04-19,rich clementi,sam stout,1.0
2008-04-19,demian maia,ed herman,1.0
2008-04-19,jason day,alan belcher,1.0
2008-04-19,jason macdonald,joe doerksen,1.0
2008-04-19,mac danzig,mark bocek,1.0
2008-04-19,michael bisping,charles mccarthy,1.0
2008-04-19,nate quarry,kalib starnes,1.0
2008-04-19,rich franklin,travis lutter,1.0
2008-04-19,georges st-pierre,matt serra,1.0
2008-05-24,shane carwin,christian wellisch,1.0
2008-05-24,dong hyun kim,jason tan,1.0
2008-05-24,yoshiyuki yoshida,war machine,1.0
2008-05-24,rich clementi,terry etim,1.0
2008-05-24,rameau thierry sokoudjou,kazuhiro nakamura,1.0
2008-05-24,rousimar palhares,ivan salaverry,1.0
2008-05-24,thiago silva,antonio mendes,1.0
2008-05-24,lyoto machida,tito ortiz,1.0
2008-05-24,goran reljic,wilson gouveia,1.0
2008-05-24,wanderlei silva,keith jardine,1.0
2008-05-24,bj penn,sean sherk,1.0
2008-06-07,antoni hardonk,eddie sanchez,1.0
2008-06-07,paul taylor,jess liaudin,1.0
2008-06-07,luiz cane,jason lambert,1.0
2008-06-07,kevin burns,roan carneiro,1.0
2008-06-07,matt wiman,thiago tavares,1.0
2008-06-07,martin kampmann,jorge rivera,1.0
2008-06-07,fabricio werdum,brandon vera,1.0
2008-06-07,thales leites,nate marquardt,1.0
2008-06-07,mike swick,marcus davis,1.0
2008-06-07,michael bisping,jason day,1.0
2008-06-07,thiago alves,matt hughes,1.0
2008-06-21,rob kimmons,rob yundt,1.0
2008-06-21,dean lister,jeremy horn,1.0
2008-06-21,matt brown,matt arroyo,1.0
2008-06-21,drew mcfedries,marvin eastman,1.0
2008-06-21,dustin hazelett,joshua burkman,1.0
2008-06-21,matthew riddle,dante rivera,1.0
2008-06-21,spencer fisher,jeremy stephens,1.0
2008-06-21,diego sanchez,luigi fioravanti,1.0
2008-06-21,amir sadollah,cb dollaway,1.0
2008-06-21,kendall grove,evan tanner,1.0
2008-07-05,justin buchholz,corey hill,1.0
2008-07-05,melvin guillard,dennis siver,1.0
2008-07-05,cole miller,jorge gurgel,1.0
2008-07-05,gabriel gonzaga,justin mccully,1.0
2008-07-05,tyson griffin,marcus aurelio,1.0
2008-07-05,josh koscheck,chris lytle,1.0
2008-07-05,joe stevenson,gleison tibau,1.0
2008-07-05,patrick cote,ricardo almeida,1.0
2008-07-05,forrest griffin,quinton jackson,1.0
2008-07-19,shannon gugerty,dale hartt,1.0
2008-07-19,brad blackburn,james giboo,1.0
2008-07-19,nate loughran,johnny rees,1.0
2008-07-19,rory markham,brodie farber,1.0
2008-07-19,tim credeur,cale yarbrough,1.0
2008-07-19,cb dollaway,jesse taylor,1.0
2008-07-19,kevin burns,anthony johnson,1.0
2008-07-19,cain velasquez,jake o'brien,1.0
2008-07-19,frankie edgar,hermes franca,1.0
2008-07-19,brandon vera,reese andy,1.0
2008-07-19,anderson silva,james irvin,1.0
2008-08-09,ben saunders,ryan thomas,1.0
2008-08-09,chris wilson,steve bruno,1.0
2008-08-09,jon jones,andre gusmao,1.0
2008-08-09,cheick kongo,dan evensen,1.0
2008-08-09,tamdan mccrory,luke cummo,1.0
2008-08-09,demian maia,jason macdonald,1.0
2008-08-09,kenny florian,roger huerta,1.0
2008-08-09,rob emerson,manvel gamburyan,1.0
2008-08-09,brock lesnar,heath herring,1.0
2008-08-09,georges st-pierre,jon fitch,1.0
2008-09-06,ryo chonan,roan carneiro,1.0
2008-09-06,jason macdonald,jason lambert,1.0
2008-09-06,tim boetsch,michael patt,1.0
2008-09-06,kurt pellegrino,thiago tavares,1.0
2008-09-06,dong hyun kim,matt brown,1.0
2008-09-06,nate marquardt,martin kampmann,1.0
2008-09-06,dan henderson,rousimar palhares,1.0
2008-09-06,rich franklin,matt hamill,1.0
2008-09-06,rashad evans,chuck liddell,1.0
2008-09-17,dan miller,rob kimmons,1.0
2008-09-17,mike massenzio,drew mcfedries,1.0
2008-09-17,jason brilz,brad morris,1.0
2008-09-17,joe lauzon,kyle bradley,1.0
2008-09-17,wilson gouveia,ryan jensen,1.0
2008-09-17,alessio sakara,joe vedepo,1.0
2008-09-17,eric schafer,houston alexander,1.0
2008-09-17,alan belcher,ed herman,1.0
2008-09-17,clay guida,mac danzig,1.0
2008-09-17,nate diaz,josh neer,1.0
2008-10-18,per eklund,samy schiavo,1.0
2008-10-18,jim miller,david baron,1.0
2008-10-18,terry etim,sam stout,1.0
2008-10-18,david bielkheden,jess liaudin,1.0
2008-10-18,shane carwin,neil wain,1.0
2008-10-18,dan hardy,akihiro gono,1.0
2008-10-18,marcus davis,paul kelly,1.0
2008-10-18,chris lytle,paul taylor,1.0
2008-10-18,luiz cane,rameau thierry sokoudjou,1.0
2008-10-18,keith jardine,brandon vera,1.0
2008-10-18,michael bisping,chris leben,1.0
2008-10-25,pete sell,joshua burkman,1.0
2008-10-25,hermes franca,marcus aurelio,1.0
2008-10-25,dan miller,matt horwich,1.0
2008-10-25,spencer fisher,shannon gugerty,1.0
2008-10-25,thales leites,drew mcfedries,1.0
2008-10-25,sean sherk,tyson griffin,1.0
2008-10-25,junior dos santos,fabricio werdum,1.0
2008-10-25,gray maynard,rich clementi,1.0
2008-10-25,thiago alves,josh koscheck,1.0
2008-10-25,anderson silva,patrick cote,1.0
2008-11-15,matt brown,ryan thomas,1.0
2008-11-15,mark bocek,alvin robinson,1.0
2008-11-15,jeremy stephens,rafael dos anjos,1.0
2008-11-15,aaron riley,jorge gurgel,1.0
2008-11-15,demian maia,nate quarry,1.0
2008-11-15,gabriel gonzaga,josh hendricks,1.0
2008-11-15,dustin hazelett,tamdan mccrory,1.0
2008-11-15,kenny florian,joe stevenson,1.0
2008-11-15,brock lesnar,randy couture,1.0
2008-12-10,justin mccully,eddie sanchez,1.0
2008-12-10,dale hartt,corey hill,1.0
